# Energy	Flux
# keV	photon/(s*keV*arcmin**2)
1.005000000000000060e-01	1.230422834855066051e-03
1.015000000000000069e-01	1.219186242354401229e-03
1.024999999999999939e-01	1.208180125875365791e-03
1.034999999999999948e-01	1.197397393848063105e-03
1.044999999999999957e-01	1.186827408917649198e-03
1.054999999999999966e-01	1.176463079514227439e-03
1.064999999999999974e-01	1.166304405637798259e-03
1.074999999999999983e-01	1.156340749933516604e-03
1.084999999999999992e-01	1.146568566616434914e-03
1.095000000000000001e-01	1.136980764116656559e-03
1.105000000000000010e-01	1.127577342434181321e-03
1.115000000000000019e-01	1.118347664214165661e-03
1.125000000000000028e-01	1.109288183671660287e-03
1.135000000000000037e-01	1.100398900806666283e-03
1.145000000000000046e-01	1.091669178264338376e-03
1.155000000000000054e-01	1.083095470259728792e-03
1.165000000000000063e-01	1.074677776792837746e-03
1.174999999999999933e-01	1.066409006293768391e-03
1.184999999999999942e-01	1.058285612977572952e-03
1.194999999999999951e-01	1.050304051059303221e-03
1.204999999999999960e-01	1.042464320538959415e-03
1.214999999999999969e-01	1.034755784061696694e-03
1.224999999999999978e-01	1.027181987412463483e-03
1.234999999999999987e-01	1.019735839021363366e-03
1.244999999999999996e-01	1.012413793103448352e-03
1.255000000000000004e-01	1.005212303873770233e-03
1.265000000000000013e-01	9.981349171172770006e-04
1.275000000000000022e-01	9.911709954791242481e-04
1.285000000000000031e-01	9.843205389593121923e-04
1.295000000000000040e-01	9.775835475578406163e-04
1.305000000000000049e-01	9.709529297048134300e-04
1.315000000000000058e-01	9.644322311851787326e-04
1.325000000000000067e-01	9.580108146440919010e-04
1.335000000000000075e-01	9.516922258665012511e-04
1.345000000000000084e-01	9.454729190674586838e-04
1.355000000000000093e-01	9.393493484620157744e-04
1.365000000000000102e-01	9.333215140501729566e-04
1.375000000000000111e-01	9.273858700469816974e-04
1.385000000000000120e-01	9.215388706674940058e-04
1.395000000000000129e-01	9.157805159117099903e-04
1.405000000000000138e-01	9.101108057796295425e-04
1.414999999999999869e-01	9.045261944863045630e-04
1.424999999999999878e-01	8.990231362467867356e-04
1.434999999999999887e-01	8.936016310610762773e-04
1.444999999999999896e-01	8.882581331442247633e-04
1.454999999999999905e-01	8.829926424962326274e-04
1.464999999999999913e-01	8.778051591170996527e-04
1.474999999999999922e-01	8.726921372218776314e-04
1.484999999999999931e-01	8.676500310256183559e-04
1.494999999999999940e-01	8.626788405283220430e-04
1.504999999999999949e-01	8.577821115149366835e-04
1.514999999999999958e-01	8.529492066306178710e-04
1.524999999999999967e-01	8.481872174452620211e-04
1.534999999999999976e-01	8.434890523889727182e-04
1.544999999999999984e-01	8.388582572466980617e-04
1.554999999999999993e-01	8.342877404485418529e-04
1.565000000000000002e-01	8.297810477794522995e-04
1.575000000000000011e-01	8.253381792394291847e-04
1.585000000000000020e-01	8.209520432585765267e-04
1.595000000000000029e-01	8.166226398368940003e-04
1.605000000000000038e-01	8.123535147593299215e-04
1.615000000000000047e-01	8.081411222409361911e-04
1.625000000000000056e-01	8.039854622817127006e-04
1.635000000000000064e-01	7.998794433117632514e-04
1.645000000000000073e-01	7.958301569009840421e-04
1.655000000000000082e-01	7.918340572644269734e-04
1.665000000000000091e-01	7.878875986171439460e-04
1.675000000000000100e-01	7.839943267440830591e-04
1.685000000000000109e-01	7.801471500753480058e-04
1.695000000000000118e-01	7.763496143958869937e-04
1.705000000000000127e-01	7.726017197056999145e-04
1.715000000000000135e-01	7.688999202198386687e-04
1.724999999999999867e-01	7.652442159383034733e-04
1.734999999999999876e-01	7.616346068610938946e-04
1.744999999999999885e-01	7.580675472032622668e-04
1.754999999999999893e-01	7.545465827497562557e-04
1.764999999999999902e-01	7.510681677156280872e-04
1.774999999999999911e-01	7.476287563159295536e-04
1.784999999999999920e-01	7.442354401205567450e-04
1.794999999999999929e-01	7.409591348284726240e-04
1.804999999999999938e-01	7.375658186330999238e-04
1.814999999999999947e-01	7.343001506958603177e-04
1.824999999999999956e-01	7.310557574683096329e-04
1.834999999999999964e-01	7.278574594450847816e-04
1.844999999999999973e-01	7.246981650562894567e-04
1.854999999999999982e-01	7.215849658718198568e-04
1.864999999999999991e-01	7.184894956120911873e-04
1.875000000000000000e-01	7.154401205566883514e-04
