# Energy	Flux
# keV		photon/(cm**2*s*keV*arcmin**2)
5.000000819563865662e-04	2.853390888787843576e-09
1.500000013038516045e-03	5.354186802630460310e-09
2.499999944120645523e-03	1.520024815455748325e-08
3.500000108033418655e-03	3.966600083769513623e-08
4.499999806284904480e-03	9.315492209319229629e-08
5.499999970197677612e-03	1.984968802541731688e-07
6.500000134110450745e-03	3.862025905663610916e-07
7.500000298023223877e-03	6.925981348955737076e-07
8.500000461935997009e-03	1.157114285481143456e-06
9.499999694526195526e-03	1.819036225026579979e-06
1.049999985843896866e-02	2.716375832172418583e-06
1.150000002235174179e-02	3.884185792457981540e-06
1.250000018626451492e-02	5.353586247238757050e-06
1.350000035017728806e-02	7.150906029836261403e-06
1.449999958276748657e-02	9.294849285678265325e-06
1.549999974668025970e-02	1.179977516573588242e-05
1.649999991059303284e-02	1.467545385124782397e-05
1.750000007450580597e-02	1.792398614996754740e-05
1.850000023841857910e-02	2.154113715036972117e-05
1.949999853968620300e-02	2.551820786611384658e-05
2.050000056624412537e-02	2.984091077637873569e-05
2.149999886751174927e-02	3.448889423311382596e-05
2.250000089406967163e-02	3.943720240635276169e-05
2.349999919533729553e-02	4.465658123812405838e-05
2.450000122189521790e-02	5.011215246192889577e-05
2.549999952316284180e-02	5.576552319079767085e-05
2.650000154972076416e-02	6.157658295238029164e-05
2.749999985098838806e-02	6.750240148922555131e-05
2.850000001490116119e-02	7.349855414141197654e-05
2.950000017881393433e-02	7.951917410314719129e-05
3.049999848008155823e-02	8.551762320103339584e-05
3.150000050663948059e-02	9.144722740592200832e-05
3.249999880790710449e-02	9.726224070776837898e-05
3.350000083446502686e-02	1.029183562828915420e-04
3.450000286102294922e-02	1.083738082654560439e-04
3.549999743700027466e-02	1.135909416102592889e-04
3.649999946355819702e-02	1.185358772222679997e-04
3.750000149011611938e-02	1.231780649685033609e-04
3.849999979138374329e-02	1.274914663873751475e-04
3.949999809265136719e-02	1.314545272585959743e-04
4.050000011920928955e-02	1.350497640419625787e-04
4.150000214576721191e-02	1.382669834482746195e-04
4.250000044703483582e-02	1.411041090633071554e-04
4.349999874830245972e-02	1.435647608898987728e-04
4.450000077486038208e-02	1.456569190875803234e-04
4.550000280141830444e-02	1.473944978407484895e-04
4.649999737739562988e-02	1.487977567476037814e-04
4.749999940395355225e-02	1.498916670976465238e-04
4.850000143051147461e-02	1.507065168640932089e-04
4.949999973177909851e-02	1.512765393771997981e-04
5.049999803304672241e-02	1.516400918825678028e-04
5.150000005960464478e-02	1.518375787019448069e-04
5.250000208616256714e-02	1.519104460523035467e-04
5.350000038743019104e-02	1.518988812628469323e-04
5.449999868869781494e-02	1.518364302943952496e-04
5.550000071525573730e-02	1.517489079671550728e-04
5.650000274181365967e-02	1.516540784600193062e-04
5.749999731779098511e-02	1.515628295584899043e-04
5.849999934434890747e-02	1.514807181907396874e-04
5.950000137090682983e-02	1.514106689305963688e-04
6.049999967217445374e-02	1.513538916340608951e-04
6.149999797344207764e-02	1.513106158433040189e-04
6.250000000000000000e-02	1.512792285451776961e-04
6.350000202655792236e-02	1.512587177678261397e-04
6.450000405311584473e-02	1.512517375224551686e-04
6.549999862909317017e-02	1.512583102772680247e-04
6.650000065565109253e-02	1.512761244922109936e-04
6.750000268220901489e-02	1.513045137229548009e-04
6.849999725818634033e-02	1.513433807121152257e-04
6.949999928474426270e-02	1.513913765427937590e-04
7.050000131130218506e-02	1.514467279646132449e-04
7.150000333786010742e-02	1.515086671899091826e-04
7.249999791383743286e-02	1.515762349229852265e-04
7.349999994039535522e-02	1.516478048479380589e-04
7.450000196695327759e-02	1.517228615653485463e-04
7.549999654293060303e-02	1.518012377134025839e-04
7.649999856948852539e-02	1.518808736777284599e-04
7.750000059604644775e-02	1.519590766748482602e-04
7.850000262260437012e-02	1.520342629390375694e-04
7.950000464916229248e-02	1.521051766464473151e-04
8.049999922513961792e-02	1.521695779807707061e-04
8.150000125169754028e-02	1.522258730392171190e-04
8.249999582767486572e-02	1.522731915379729793e-04
8.349999785423278809e-02	1.523108748504821343e-04
8.449999988079071045e-02	1.523386966690260609e-04
8.550000190734863281e-02	1.523561481353576618e-04
8.650000393390655518e-02	1.523637776051251522e-04
8.749999850988388062e-02	1.523631995228629985e-04
8.850000053644180298e-02	1.523541251161918738e-04
8.950000256299972534e-02	1.523362594217463593e-04
9.049999713897705078e-02	1.523109530883180491e-04
9.149999916553497314e-02	1.522789031009842350e-04
