# Energy	Flux
# keV	photon/(cm**2*s*keV)
1.004950000000000010e-01	2.328959595959617315e-05
1.014849999999999919e-01	2.609777777777801881e-05
1.024750000000000105e-01	2.370676767676789786e-05
1.034650000000000014e-01	6.835232323232385361e-05
1.044549999999999923e-01	2.178858585858605893e-05
1.054450000000000109e-01	9.682575757575846850e-05
1.064350000000000018e-01	2.399323232323254194e-04
1.074249999999999927e-01	1.001764646464655610e-04
1.084150000000000114e-01	1.978020202020220293e-05
1.094050000000000022e-01	2.109636363636383110e-05
1.103949999999999931e-01	4.063909090909127817e-05
1.113849999999999979e-01	2.439111111111133347e-05
1.123750000000000027e-01	1.882303030303047661e-05
1.133649999999999936e-01	1.745363636363652656e-05
1.143549999999999983e-01	2.012101010101028831e-05
1.153450000000000031e-01	8.027272727272800911e-05
1.163349999999999940e-01	2.188202020202040344e-05
1.173249999999999987e-01	2.750898989899015182e-05
1.183150000000000035e-01	9.783212121212210739e-04
1.193049999999999944e-01	2.413797979798002196e-04
1.202949999999999992e-01	1.210878787878799098e-04
1.212850000000000039e-01	4.455262626262667384e-05
1.222749999999999948e-01	1.691212121212136766e-05
1.232649999999999996e-01	3.235646464646494655e-05
1.242550000000000043e-01	2.430414141414164047e-05
1.252449999999999952e-01	2.166242424242444478e-05
1.262349999999999861e-01	2.344343434343456039e-04
1.272250000000000048e-01	7.446515151515220360e-05
1.282149999999999956e-01	8.232121212121288809e-05
1.292050000000000143e-01	1.620494949494964199e-04
1.301950000000000052e-01	7.865838383838455699e-05
1.311849999999999961e-01	1.397636363636376544e-05
1.321749999999999869e-01	1.389989898989911867e-04
1.331650000000000056e-01	1.346353535353547703e-05
1.341549999999999965e-01	2.195646464646484623e-05
1.351450000000000151e-01	1.398222222222234961e-05
1.361350000000000060e-01	2.791232323232348863e-05
1.371249999999999969e-01	8.689565656565736572e-05
1.381149999999999878e-01	2.854222222222248465e-05
1.391050000000000064e-01	2.781858585858611470e-05
1.400949999999999973e-01	2.334272727272748523e-05
1.410850000000000160e-01	1.156616161616172281e-04
1.420750000000000068e-01	6.733777777777840323e-05
1.430649999999999977e-01	3.521000000000032865e-05
1.440549999999999886e-01	1.828464646464663534e-05
1.450450000000000073e-01	3.787232323232358301e-05
1.460349999999999981e-01	1.182929292929303830e-05
1.470250000000000168e-01	2.400979797979820282e-05
1.480150000000000077e-01	9.657262626262714817e-05
1.490049999999999986e-01	2.440606060606083266e-05
1.499949999999999894e-01	2.360626262626284300e-05
1.509850000000000081e-01	3.445555555555587205e-05
1.519749999999999990e-01	4.597232323232365114e-05
1.529650000000000176e-01	1.274232323232334927e-05
1.539550000000000085e-01	4.413151515151555641e-05
1.549449999999999994e-01	5.017797979798025511e-05
1.559349999999999903e-01	2.118212121212140978e-05
1.569250000000000089e-01	3.268737373737403676e-05
1.579149999999999998e-01	5.405919191919241699e-05
1.589049999999999907e-01	1.021252525252534636e-04
1.598950000000000093e-01	1.105282828282838468e-04
1.608850000000000002e-01	2.573121212121236095e-05
1.618749999999999911e-01	3.545707070707103333e-05
1.628649999999999820e-01	4.509292929292970487e-05
1.638550000000000006e-01	6.617242424242484363e-05
1.648449999999999915e-01	5.334848484848533987e-05
1.658350000000000102e-01	1.415484848484861420e-04
1.668250000000000011e-01	2.723000000000024920e-05
1.678149999999999920e-01	9.782070707070797185e-06
1.688049999999999828e-01	8.237858585858660876e-05
1.697950000000000015e-01	4.765161616161660366e-05
1.707849999999999924e-01	2.897606060606087191e-05
1.717750000000000110e-01	1.471484848484861969e-04
1.727650000000000019e-01	1.670929292929308475e-05
1.737549999999999928e-01	1.472101010101023668e-05
1.747449999999999837e-01	2.114838383838403188e-05
1.757350000000000023e-01	1.156878787878798497e-05
1.767249999999999932e-01	4.745040404040447432e-05
1.777150000000000118e-01	2.669808080808105401e-04
1.787050000000000027e-01	2.752535353535378833e-05
1.796949999999999936e-01	1.106484848484858517e-05
1.806849999999999845e-01	6.093787878787934218e-05
1.816750000000000032e-01	2.805121212121237939e-05
1.826649999999999940e-01	8.865202020202101607e-06
1.836550000000000127e-01	2.342272727272748785e-05
1.846450000000000036e-01	5.517444444444495540e-05
1.856349999999999945e-01	1.016020202020211377e-05
1.866249999999999853e-01	4.326808080808120741e-05
1.876150000000000040e-01	2.933383838383865606e-05
1.886049999999999949e-01	6.122929292929349876e-05
