# Energy	Flux
# keV	photon/(cm**2*s*keV*arcmin**2)
 0.1005  2.9980e-4
 0.1015  2.9980e-4
 0.1025  2.9980e-4
 0.1035  2.9980e-4
 0.1045  2.9980e-4
 0.1055  2.9980e-4
 0.1065  2.9980e-4
 0.1075  2.9980e-4
 0.1085  2.9980e-4
 0.1095  2.9980e-4
 0.1105  2.9980e-4
 0.1115  2.9980e-4
 0.1125  2.9980e-4
 0.1135  2.9980e-4
 0.1145  2.9980e-4
 0.1155  2.9980e-4
 0.1165  2.9980e-4
 0.1175  2.9980e-4
 0.1185  2.9980e-4
 0.1195  2.9980e-4
 0.1205  2.9980e-4
 0.1215  2.9980e-4
 0.1225  2.9980e-4
 0.1235  2.9980e-4
 0.1245  2.9980e-4
 0.1255  2.9980e-4
 0.1265  2.9980e-4
 0.1275  2.9980e-4
 0.1285  2.9980e-4
 0.1295  2.9980e-4
 0.1305  2.9980e-4
 0.1315  2.9980e-4
 0.1325  2.9980e-4
 0.1335  2.9980e-4
 0.1345  2.9980e-4
 0.1355  2.9980e-4
 0.1365  2.9980e-4
 0.1375  2.9980e-4
 0.1385  2.9980e-4
 0.1395  2.9980e-4
 0.1405  2.9980e-4
 0.1415  2.9980e-4
 0.1425  2.9980e-4
 0.1435  2.9980e-4
 0.1445  2.9980e-4
 0.1455  2.9980e-4
 0.1465  2.9980e-4
 0.1475  2.9980e-4
 0.1485  2.9980e-4
 0.1495  2.9980e-4
 0.1505  2.9980e-4
 0.1515  2.9980e-4
 0.1525  2.9980e-4
 0.1535  2.9980e-4
 0.1545  2.9980e-4
 0.1555  2.9980e-4
 0.1565  2.9980e-4
 0.1575  2.9980e-4
 0.1585  2.9980e-4
 0.1595  2.9980e-4
 0.1605  2.9980e-4
 0.1615  2.9980e-4
 0.1625  2.9980e-4
 0.1635  2.9980e-4
 0.1645  2.9980e-4
 0.1655  2.9980e-4
 0.1665  2.9980e-4
 0.1675  2.9980e-4
 0.1685  2.9980e-4
 0.1695  2.9980e-4
 0.1705  2.9980e-4
 0.1715  2.9980e-4
 0.1725  2.9980e-4
 0.1735  2.9980e-4
 0.1745  2.9980e-4
 0.1755  2.9980e-4
 0.1765  2.9980e-4
 0.1775  2.9980e-4
 0.1785  2.9980e-4
 0.1795  2.9980e-4
 0.1805  2.9980e-4
 0.1815  2.9980e-4
 0.1825  2.9980e-4
 0.1835  2.9980e-4
 0.1845  2.9980e-4
 0.1855  2.9980e-4
 0.1865  2.9980e-4
 0.1875  2.9980e-4
 0.1885  2.9980e-4
 0.1895  2.9980e-4
 0.1905  2.9980e-4
 0.1915  2.9980e-4
 0.1925  2.9980e-4
 0.1935  2.9980e-4
 0.1945  2.9980e-4
 0.1955  2.9980e-4
 0.1965  2.9980e-4
 0.1975  2.9980e-4
 0.1985  2.9980e-4
 0.1995  2.9980e-4
 0.2005  2.9980e-4
 0.2015  2.9980e-4
 0.2025  2.9980e-4
 0.2035  2.9980e-4
 0.2045  2.9980e-4
 0.2055  2.9980e-4
 0.2065  2.9980e-4
 0.2075  2.9980e-4
 0.2085  2.9980e-4
 0.2095  2.9980e-4
 0.2105  2.9980e-4
 0.2115  2.9980e-4
 0.2125  2.9980e-4
 0.2135  2.9980e-4
 0.2145  2.9980e-4
 0.2155  2.9980e-4
 0.2165  2.9980e-4
 0.2175  2.9980e-4
 0.2185  2.9980e-4
 0.2195  2.9980e-4
 0.2205  2.9980e-4
 0.2215  2.9980e-4
 0.2225  2.9980e-4
 0.2235  2.9980e-4
 0.2245  2.9980e-4
 0.2255  2.9980e-4
 0.2265  2.9980e-4
 0.2275  2.9980e-4
 0.2285  2.9980e-4
 0.2295  2.9980e-4
 0.2305  2.9980e-4
 0.2315  2.9980e-4
 0.2325  2.9980e-4
 0.2335  2.9980e-4
 0.2345  2.9980e-4
 0.2355  2.9980e-4
 0.2365  2.9980e-4
 0.2375  2.9980e-4
 0.2385  2.9980e-4
 0.2395  2.9980e-4
 0.2405  2.9980e-4
 0.2415  2.9980e-4
 0.2425  2.9980e-4
 0.2435  2.9980e-4
 0.2445  2.9980e-4
 0.2455  2.9980e-4
 0.2465  2.9980e-4
 0.2475  2.9980e-4
 0.2485  2.9980e-4
 0.2495  2.9980e-4
 0.2505  2.9980e-4
 0.2515  2.9980e-4
 0.2525  2.9980e-4
 0.2535  2.9980e-4
 0.2545  2.9980e-4
 0.2555  2.9980e-4
 0.2565  2.9980e-4
 0.2575  2.9980e-4
 0.2585  2.9980e-4
 0.2595  2.9980e-4
 0.2605  2.9980e-4
 0.2615  2.9980e-4
 0.2625  2.9980e-4
 0.2635  2.9980e-4
 0.2645  2.9980e-4
 0.2655  2.9980e-4
 0.2665  2.9980e-4
 0.2675  2.9980e-4
 0.2685  2.9980e-4
 0.2695  2.9980e-4
 0.2705  2.9980e-4
 0.2715  2.9980e-4
 0.2725  2.9980e-4
 0.2735  2.9980e-4
 0.2745  2.9980e-4
 0.2755  2.9980e-4
 0.2765  2.9980e-4
 0.2775  2.9980e-4
 0.2785  2.9980e-4
 0.2795  2.9980e-4
 0.2805  2.9980e-4
 0.2815  2.9980e-4
 0.2825  2.9980e-4
 0.2835  2.9980e-4
 0.2845  2.9980e-4
 0.2855  2.9980e-4
 0.2865  2.9980e-4
 0.2875  2.9980e-4
