# Energy	Flux
# keV	photon/(cm**2*s*keV)
1.004950000000000010e-01	9.374999999999999653e-04
1.014850000000000058e-01	9.374999999999999653e-04
1.024750000000000105e-01	9.374999999999999653e-04
1.034650000000000014e-01	9.374999999999999653e-04
1.044550000000000062e-01	9.374999999999999653e-04
1.054450000000000109e-01	9.374999999999999653e-04
1.064350000000000018e-01	9.374999999999999653e-04
1.074250000000000066e-01	9.374999999999999653e-04
1.084150000000000114e-01	9.374999999999999653e-04
1.094050000000000022e-01	9.374999999999999653e-04
1.103949999999999931e-01	9.374999999999999653e-04
1.113850000000000118e-01	9.374999999999999653e-04
1.123750000000000027e-01	9.374999999999999653e-04
1.133649999999999936e-01	9.374999999999999653e-04
1.143550000000000122e-01	9.374999999999999653e-04
1.153450000000000031e-01	9.374999999999999653e-04
1.163349999999999940e-01	9.374999999999999653e-04
1.173250000000000126e-01	9.374999999999999653e-04
1.183150000000000035e-01	9.374999999999999653e-04
1.193049999999999944e-01	9.374999999999999653e-04
1.202950000000000130e-01	9.374999999999999653e-04
1.212850000000000039e-01	9.374999999999999653e-04
1.222749999999999948e-01	9.374999999999999653e-04
1.232650000000000134e-01	9.374999999999999653e-04
1.242550000000000043e-01	9.374999999999999653e-04
1.252449999999999952e-01	9.374999999999999653e-04
1.262350000000000139e-01	9.374999999999999653e-04
1.272250000000000048e-01	9.374999999999999653e-04
1.282149999999999956e-01	9.374999999999999653e-04
1.292050000000000143e-01	9.374999999999999653e-04
1.301950000000000052e-01	9.374999999999999653e-04
1.311849999999999961e-01	9.374999999999999653e-04
1.321750000000000147e-01	9.374999999999999653e-04
1.331650000000000056e-01	9.374999999999999653e-04
1.341549999999999965e-01	9.374999999999999653e-04
1.351450000000000151e-01	9.374999999999999653e-04
1.361350000000000060e-01	9.374999999999999653e-04
1.371249999999999969e-01	9.374999999999999653e-04
1.381150000000000155e-01	9.374999999999999653e-04
1.391050000000000064e-01	9.374999999999999653e-04
1.400949999999999973e-01	9.374999999999999653e-04
1.410850000000000160e-01	9.374999999999999653e-04
1.420750000000000068e-01	9.374999999999999653e-04
1.430649999999999977e-01	9.374999999999999653e-04
1.440550000000000164e-01	9.374999999999999653e-04
1.450450000000000073e-01	9.374999999999999653e-04
1.460349999999999981e-01	9.374999999999999653e-04
1.470250000000000168e-01	9.374999999999999653e-04
1.480150000000000077e-01	9.374999999999999653e-04
1.490049999999999986e-01	9.374999999999999653e-04
1.499950000000000172e-01	9.374999999999999653e-04
1.509850000000000081e-01	9.374999999999999653e-04
1.519749999999999990e-01	9.374999999999999653e-04
1.529650000000000176e-01	9.374999999999999653e-04
1.539550000000000085e-01	9.374999999999999653e-04
1.549449999999999994e-01	9.374999999999999653e-04
1.559350000000000180e-01	9.374999999999999653e-04
1.569250000000000089e-01	9.374999999999999653e-04
1.579149999999999998e-01	9.374999999999999653e-04
1.589050000000000185e-01	9.374999999999999653e-04
1.598950000000000093e-01	9.374999999999999653e-04
1.608850000000000002e-01	9.374999999999999653e-04
1.618749999999999911e-01	9.374999999999999653e-04
1.628650000000000098e-01	9.374999999999999653e-04
1.638550000000000006e-01	9.374999999999999653e-04
1.648449999999999915e-01	9.374999999999999653e-04
1.658350000000000102e-01	9.374999999999999653e-04
1.668250000000000011e-01	9.374999999999999653e-04
1.678150000000000197e-01	9.374999999999999653e-04
1.688050000000000106e-01	9.374999999999999653e-04
1.697950000000000015e-01	9.374999999999999653e-04
1.707849999999999924e-01	9.374999999999999653e-04
1.717750000000000110e-01	9.374999999999999653e-04
1.727650000000000019e-01	9.374999999999999653e-04
1.737550000000000205e-01	9.374999999999999653e-04
1.747450000000000114e-01	9.374999999999999653e-04
1.757350000000000023e-01	9.374999999999999653e-04
1.767249999999999932e-01	9.374999999999999653e-04
1.777150000000000118e-01	9.374999999999999653e-04
1.787050000000000027e-01	9.374999999999999653e-04
1.796949999999999936e-01	9.374999999999999653e-04
1.806850000000000123e-01	9.374999999999999653e-04
1.816750000000000032e-01	9.374999999999999653e-04
1.826649999999999940e-01	9.374999999999999653e-04
1.836550000000000127e-01	9.374999999999999653e-04
1.846450000000000036e-01	9.374999999999999653e-04
1.856349999999999945e-01	9.374999999999999653e-04
1.866250000000000131e-01	9.374999999999999653e-04
1.876150000000000040e-01	9.374999999999999653e-04
1.886049999999999949e-01	9.374999999999999653e-04
1.895950000000000135e-01	9.374999999999999653e-04
1.905850000000000044e-01	9.374999999999999653e-04
1.915749999999999953e-01	9.374999999999999653e-04
1.925650000000000139e-01	9.374999999999999653e-04
1.935550000000000048e-01	9.374999999999999653e-04
1.945449999999999957e-01	9.374999999999999653e-04
1.955350000000000144e-01	9.374999999999999653e-04
1.965250000000000052e-01	9.374999999999999653e-04
1.975149999999999961e-01	9.374999999999999653e-04
1.985050000000000148e-01	9.374999999999999653e-04
1.994950000000000057e-01	9.374999999999999653e-04
2.004849999999999965e-01	9.374999999999999653e-04
2.014750000000000152e-01	9.374999999999999653e-04
2.024650000000000061e-01	9.374999999999999653e-04
2.034549999999999970e-01	9.374999999999999653e-04
2.044450000000000156e-01	9.374999999999999653e-04
2.054350000000000065e-01	9.374999999999999653e-04
2.064249999999999974e-01	9.374999999999999653e-04
2.074150000000000160e-01	9.374999999999999653e-04
2.084050000000000069e-01	9.374999999999999653e-04
2.093949999999999978e-01	9.374999999999999653e-04
2.103850000000000164e-01	9.374999999999999653e-04
2.113750000000000073e-01	9.374999999999999653e-04
2.123649999999999982e-01	9.374999999999999653e-04
2.133549999999999891e-01	9.374999999999999653e-04
2.143450000000000077e-01	9.374999999999999653e-04
2.153349999999999986e-01	9.374999999999999653e-04
2.163250000000000173e-01	9.374999999999999653e-04
2.173150000000000082e-01	9.374999999999999653e-04
2.183049999999999990e-01	9.374999999999999653e-04
2.192949999999999899e-01	9.374999999999999653e-04
2.202850000000000086e-01	9.374999999999999653e-04
2.212749999999999995e-01	9.374999999999999653e-04
2.222650000000000181e-01	9.374999999999999653e-04
2.232550000000000090e-01	9.374999999999999653e-04
2.242449999999999999e-01	9.374999999999999653e-04
2.252350000000000185e-01	9.374999999999999653e-04
2.262250000000000094e-01	9.374999999999999653e-04
2.272150000000000003e-01	9.374999999999999653e-04
2.282049999999999912e-01	9.374999999999999653e-04
2.291950000000000098e-01	9.374999999999999653e-04
2.301850000000000007e-01	9.374999999999999653e-04
2.311750000000000194e-01	9.374999999999999653e-04
2.321650000000000102e-01	9.374999999999999653e-04
2.331550000000000011e-01	9.374999999999999653e-04
2.341449999999999920e-01	9.374999999999999653e-04
2.351350000000000107e-01	9.374999999999999653e-04
2.361250000000000016e-01	9.374999999999999653e-04
2.371150000000000202e-01	9.374999999999999653e-04
2.381050000000000111e-01	9.374999999999999653e-04
